wavenumbers,absorbance
400.0,5.190725306710814e-10
401.0,4.355726517153858e-09
402.0,5.121650956179332e-08
403.0,2.759184386705433e-08
404.0,6.232243953272612e-08
405.0,3.4907451649605606e-08
406.0,1.810538359360031e-08
407.0,3.886319549776081e-09
408.0,9.618138147842119e-08
409.0,1.8185050844243721e-09
410.0,6.144557483168377e-08
411.0,1.1762626680424003e-07
412.0,1.1660696028579787e-06
413.0,8.725114543313148e-07
414.0,5.885111015655717e-06
415.0,1.8692048483977695e-06
416.0,1.472095792336341e-07
417.0,5.961681362340756e-08
418.0,5.803758959636602e-08
419.0,8.981690918507042e-08
420.0,2.951004553256876e-07
421.0,1.2056422683648487e-07
422.0,4.169007702737845e-07
423.0,2.0742212698016117e-07
424.0,4.161877143726843e-08
425.0,5.415652499004135e-08
426.0,1.601802150456799e-08
427.0,8.238201784982129e-08
428.0,3.8627415437172e-08
429.0,7.204203371828588e-08
430.0,1.792641958125544e-06
431.0,3.5193467658894304e-07
432.0,2.741962410348524e-06
433.0,9.685384487131396e-06
434.0,6.52626228682404e-06
435.0,1.8950581245616862e-07
436.0,7.691727796222403e-08
437.0,2.030901896774808e-08
438.0,9.084789985030481e-08
439.0,1.2939816744640357e-07
440.0,3.6861249929935217e-08
441.0,2.4794636465089262e-08
442.0,1.5917000203590238e-08
443.0,2.881481145447253e-07
444.0,2.743669196256132e-08
445.0,4.194550304269802e-08
446.0,1.548924911435059e-08
447.0,2.352438955220191e-08
448.0,9.305057104541056e-08
449.0,9.790205036583064e-07
450.0,1.538532087316674e-07
451.0,6.0333520126411985e-06
452.0,5.700134375003951e-07
453.0,4.074320685968942e-07
454.0,1.0022025672448549e-05
455.0,1.1649381878941623e-07
456.0,7.084158506273637e-08
457.0,1.3192488389498344e-07
458.0,6.492857877608609e-08
459.0,3.2354581104826154e-08
460.0,1.947763558711475e-08
461.0,2.898318450157839e-08
462.0,5.977244185582179e-09
463.0,2.8758223492118673e-09
464.0,2.3303303020340693e-08
465.0,8.299947860092144e-08
466.0,8.930466646419416e-08
467.0,4.058504946232451e-07
468.0,1.733333221064128e-07
469.0,6.288536502683274e-08
470.0,1.069299021355836e-06
471.0,2.3274897342761087e-07
472.0,5.565073372314461e-06
473.0,2.1646609462006486e-07
474.0,8.385195236973276e-06
475.0,4.111358065558091e-07
476.0,4.4943591621517156e-08
477.0,8.048163949316478e-09
478.0,1.7253019177669457e-08
