wavenumbers,absorbance
400.0,6.040070980044006e-12
401.0,1.046315985556911e-12
402.0,4.3586924791178094e-13
403.0,1.7240399267222673e-12
404.0,9.199342327643697e-13
405.0,2.038865405430962e-12
406.0,1.7449293976771025e-12
407.0,3.6528798326582925e-13
408.0,3.6720593117495424e-12
409.0,1.6587424628973063e-12
410.0,5.436453823918913e-13
411.0,8.696252307480645e-13
412.0,1.3734207857101717e-12
413.0,1.6601077199776848e-12
414.0,8.910137371669866e-13
415.0,7.159827295106407e-13
416.0,7.21008124155782e-12
417.0,1.5139408535517932e-12
418.0,5.973999889720701e-13
419.0,1.8544293382258173e-12
420.0,1.4914617391137913e-11
421.0,6.010787525389576e-11
422.0,8.705148337192915e-12
423.0,7.387306616410628e-12
424.0,7.755599254483668e-12
425.0,4.0616813187306144e-12
426.0,2.9303846105478874e-12
427.0,3.780487278036462e-12
428.0,4.1616337566144606e-12
429.0,2.1198589552420625e-12
430.0,4.650561206700144e-12
431.0,2.6922866066481545e-12
432.0,2.4613016977084525e-11
433.0,7.755155133539509e-12
434.0,3.5497224319141327e-12
435.0,7.476074886769226e-12
436.0,2.282688593989576e-11
437.0,1.3961897229430703e-11
438.0,5.4951338408007265e-12
439.0,1.0325493297782718e-10
440.0,2.547892454676844e-11
441.0,9.776267569260503e-12
442.0,4.5426053946319945e-10
443.0,1.3884693544027694e-11
444.0,1.0541329849230491e-11
445.0,4.124997519685146e-10
446.0,1.651630389825184e-11
447.0,1.1133268646074824e-11
448.0,3.023271193072638e-10
449.0,2.818345888963318e-11
450.0,1.5959387469890307e-11
451.0,3.128013274668116e-10
452.0,3.021613573088365e-11
453.0,2.6973926256957547e-11
454.0,3.5831513177820627e-10
455.0,3.8492966218789996e-11
456.0,5.7541916265706107e-11
457.0,5.186502922911719e-10
458.0,5.869408919835111e-11
459.0,3.30018342547165e-11
460.0,9.83717875089718e-10
461.0,1.099097476675791e-10
462.0,3.550409807333804e-11
463.0,1.8009102732278566e-09
464.0,5.602416903583143e-11
465.0,5.1114840147051136e-11
466.0,6.210537924343517e-10
467.0,3.888836913561753e-11
468.0,4.102901464290346e-11
469.0,1.723742820263643e-10
470.0,1.4433182878525954e-10
471.0,2.6553485259328383e-09
472.0,4.755587898232288e-10
473.0,1.6781644421509884e-10
474.0,3.292848634759122e-11
475.0,7.359171630442803e-11
476.0,3.1818279617438e-10
477.0,3.913396601375959e-11
478.0,1.608348838974845e-10
479.0,1.1759419617657638e-10
480.0,2.1543521120313875e-09
481.0,2.0905877136111813e-09
482.0,1.8619275992250966e-10
483.0,2.6439272046992195e-10
484.0,2.0370805239204506e-09
485.0,2.3800064986983833e-10
486.0,2.1012263365735948e-10
487.0,3.8697459672697936e-10
488.0,5.254825859906763e-10
489.0,1.8560844421782083e-09
490.0,2.2902138209808626e-10
491.0,4.4730314950260636e-09
492.0,2.475306754781825e-10
493.0,3.0265530417134126e-10
494.0,1.0490502023555832e-09
495.0,2.446648442783919e-10
496.0,6.412154168996209e-10
497.0,5.319990861125618e-10
498.0,3.3481865315593963e-10
499.0,1.2205619566864946e-09
500.0,3.30008288913629e-10
501.0,4.812638839954015e-10
502.0,5.06601015588777e-09
503.0,2.999661045465872e-10
504.0,2.9092689187326036e-10
505.0,1.6548109426999263e-08
506.0,4.347979825101435e-10
507.0,1.1037969031040016e-09
508.0,2.2767660329866853e-08
509.0,2.1137558299929935e-08
510.0,4.414923450316045e-09
511.0,1.7158852516714858e-08
512.0,4.352683250358212e-09
513.0,2.7830578185534566e-09
514.0,1.5286669017773415e-08
515.0,3.2927667614379625e-09
516.0,2.4308950966097205e-09
517.0,1.8181298141150697e-08
518.0,4.7217533937794835e-09
519.0,2.6271300241922898e-09
520.0,2.65587788675473e-08
521.0,8.926613357187334e-09
522.0,3.3074006446793387e-09
523.0,3.2044025601718286e-08
524.0,9.58202511339719e-09
525.0,5.119254271884776e-09
526.0,4.938582065030473e-08
527.0,9.721505931659626e-09
528.0,7.783787122532956e-09
529.0,8.579601984670958e-08
530.0,9.680078044740043e-09
531.0,6.59666222746008e-09
532.0,1.9269201878094172e-07
533.0,1.6604220355952684e-08
534.0,7.385373772772183e-09
535.0,4.3604921330138205e-07
536.0,8.41344994906178e-09
537.0,7.53488814321072e-09
538.0,1.26269280724399e-07
539.0,6.017767640943623e-09
540.0,1.048242676296323e-08
541.0,1.8598166924942603e-08
542.0,5.930781564133593e-09
543.0,2.0093355055952122e-08
544.0,1.3627153845065137e-07
545.0,1.3687903943528614e-06
546.0,6.013446165982138e-07
547.0,9.368256286972917e-08
548.0,6.009612081214082e-08
549.0,3.321769166585094e-08
550.0,3.225788568269713e-08
551.0,2.443037769378105e-08
552.0,1.3853854291671561e-08
553.0,3.401780929670684e-07
