wavenumbers,absorbance
400.0,3.359453719403326e-09
401.0,5.778381986345051e-08
402.0,2.5307034462662656e-07
403.0,1.3299066380137796e-06
404.0,7.377318058094079e-08
405.0,8.925056852048136e-08
406.0,6.451971598260716e-07
407.0,4.150845696681412e-08
408.0,8.916959831026766e-08
409.0,6.011163324281675e-08
410.0,1.0875286368733905e-07
411.0,3.822056128105752e-07
412.0,3.092511546224225e-09
413.0,1.0722535123578918e-09
414.0,4.819629909645955e-08
415.0,8.742518772279548e-07
416.0,1.6813195972095595e-07
417.0,1.1085324447430213e-07
418.0,2.5359649240373946e-06
419.0,4.343500290190464e-08
420.0,5.1813644869066784e-08
421.0,6.447758177070708e-08
422.0,7.014566255649207e-08
423.0,1.2537624824874943e-07
424.0,2.214442511014683e-09
425.0,6.826184037285818e-08
426.0,8.329653893380111e-10
427.0,0.0
428.0,0.0
429.0,2.9730552323350867e-08
430.0,4.2602233117970575e-07
431.0,1.3239831253798642e-07
432.0,9.364351356304548e-08
433.0,1.1996154715024617e-07
434.0,1.201466344791923e-07
435.0,1.966087652421145e-07
436.0,8.591517801420938e-09
437.0,1.772717185102864e-08
438.0,1.6507830603207305e-09
439.0,2.94408237458514e-07
440.0,7.3097268928009e-10
441.0,0.0
442.0,2.102962548493748e-08
443.0,2.994309014611642e-07
444.0,1.1367427397206819e-07
445.0,1.4050561290439097e-05
446.0,2.697896511052732e-08
447.0,3.2024646552020665e-06
448.0,3.728057279225303e-07
449.0,1.2777572435809017e-08
450.0,1.5224974366389862e-07
451.0,4.847632092807841e-09
452.0,3.6799963335268987e-10
453.0,7.140780146932796e-11
454.0,0.0
455.0,4.135646687181189e-11
456.0,3.1085966183774565e-10
457.0,2.9095681932685464e-08
458.0,1.35840686296141e-06
459.0,7.92670646725435e-08
460.0,1.3243970445976422e-08
461.0,9.35017296071649e-08
462.0,6.976163030867177e-09
463.0,2.1619159487935563e-10
464.0,1.9265864194108862e-10
465.0,1.8541084790371177e-09
466.0,1.7117093687858835e-09
467.0,7.96864023623212e-09
468.0,9.21537936503691e-10
469.0,2.148683149413596e-09
470.0,9.669366776724539e-09
471.0,1.758717740264886e-07
472.0,8.208995263431895e-06
473.0,5.5199321536134503e-08
474.0,4.803795379596086e-09
475.0,9.212091229114777e-10
476.0,6.971165179519108e-10
477.0,4.99451686914336e-11
478.0,0.0
479.0,2.0248145818661614e-10
480.0,4.89659199683191e-10
481.0,1.1226753218241668e-10
482.0,1.0830119873178343e-09
483.0,8.665637003679217e-10
484.0,1.0417543377234427e-10
485.0,1.193765575958583e-07
486.0,6.005429482140255e-08
487.0,3.2131830063182115e-09
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,7.547414766533119e-11
496.0,6.319649810426182e-10
497.0,7.763690185925026e-10
498.0,8.630256890644936e-09
499.0,4.261110748224472e-07
