wavenumbers,absorbance
400.0,2.9177906460734586e-80
401.0,7.504043127483946e-41
402.0,0.0
403.0,6.575635149603659e-44
404.0,0.0
405.0,0.0
406.0,1.6931224839054477e-36
407.0,6.35316016201112e-37
408.0,0.0
409.0,0.0
410.0,1.1842806196813066e-09
411.0,2.3298152672979644e-09
412.0,1.854778190076157e-14
413.0,9.064576222875457e-21
414.0,0.0
415.0,0.0
416.0,0.0
417.0,1.8534771272457e-36
418.0,0.0
419.0,0.0
420.0,6.8279859488725865e-43
421.0,4.258256267820909e-31
422.0,0.0
423.0,0.0
424.0,2.472111944406693e-10
425.0,2.3419850801272676e-10
426.0,2.4775678714343107e-16
427.0,5.702495751746626e-37
428.0,6.2103632576715435e-49
429.0,4.4102805365744683e-44
430.0,4.695561155498784e-44
431.0,0.0
432.0,8.611709869435024e-32
433.0,0.0
434.0,0.0
435.0,3.1272728399309065e-28
436.0,3.8013843231618505e-28
437.0,6.310029055396474e-23
438.0,2.1565028180714082e-10
439.0,4.061960645168896e-17
440.0,0.0
441.0,0.0
442.0,0.0
443.0,2.0275383613169177e-33
444.0,0.0
445.0,0.0
446.0,0.0
447.0,3.305841685719096e-26
448.0,0.0
449.0,1.1234216234653276e-52
450.0,5.959962954446935e-23
451.0,1.5031846994944857e-17
452.0,1.098123401391775e-11
453.0,8.728835655539494e-35
454.0,0.0
455.0,3.1344408159300464e-46
456.0,1.9279072954918508e-40
457.0,0.0
458.0,3.044928776107376e-29
459.0,0.0
460.0,0.0
461.0,0.0
462.0,4.085979516552698e-24
463.0,3.3266303775396645e-36
464.0,2.191066376416797e-17
465.0,6.666058197236995e-11
466.0,3.380524501197315e-42
467.0,0.0
468.0,0.0
469.0,4.361833162284704e-30
470.0,0.0
471.0,2.480923668462718e-47
472.0,0.0
473.0,2.8973240940868874e-25
474.0,1.1306559168823895e-25
475.0,0.0
476.0,2.3735616804583655e-19
477.0,0.0
478.0,7.518351657716927e-11
479.0,0.0
480.0,2.4250882534733074e-30
481.0,0.0
482.0,0.0
483.0,2.4104118205612512e-37
484.0,0.0
485.0,1.548093928724896e-25
486.0,0.0
487.0,0.0
488.0,1.1575701428060514e-20
489.0,6.225339795870894e-21
490.0,1.219222937911905e-32
491.0,4.685281740097404e-14
492.0,2.8847607454232045e-39
493.0,9.563654487634914e-39
494.0,0.0
495.0,0.0
496.0,7.282122593902243e-25
497.0,0.0
498.0,0.0
499.0,0.0
500.0,2.065850449400146e-21
501.0,1.0331567405432404e-33
502.0,2.488929844756011e-39
503.0,9.924500717772334e-16
504.0,4.2217822728954164e-16
505.0,0.0
506.0,0.0
507.0,2.3992075519086152e-26
508.0,0.0
509.0,0.0
510.0,6.199957235242012e-35
511.0,7.070465159570334e-35
512.0,1.158132371814277e-20
513.0,0.0
514.0,0.0
515.0,0.0
516.0,1.942093859509702e-16
517.0,1.0164633716736795e-29
518.0,3.0467915024299916e-29
519.0,0.0
520.0,5.173520180901653e-35
521.0,0.0
522.0,0.0
523.0,1.4126354088133345e-23
524.0,4.124142052010776e-24
525.0,0.0
526.0,0.0
527.0,0.0
528.0,3.541885533892401e-17
529.0,4.357137599155523e-37
530.0,5.734226622893345e-37
531.0,0.0
532.0,0.0
533.0,0.0
534.0,6.354962040295161e-25
535.0,5.383561628868721e-25
536.0,0.0
537.0,0.0
538.0,9.562903024042602e-31
539.0,2.5292796681036205e-19
540.0,8.028178060595422e-19
541.0,0.0
542.0,0.0
543.0,0.0
544.0,0.0
545.0,9.946441515573887e-26
