wavenumbers,absorbance
400.0,0.0
401.0,0.0
402.0,0.0
403.0,0.0
404.0,0.0
405.0,0.0
406.0,0.0
407.0,0.0
408.0,0.0
409.0,0.0
410.0,0.0
411.0,0.0
412.0,0.0
413.0,0.0
414.0,0.0
415.0,0.0
416.0,0.0
417.0,0.0
418.0,0.0
419.0,0.0
420.0,0.0
421.0,0.0
422.0,0.0
423.0,0.0
424.0,0.0
425.0,0.0
426.0,0.0
427.0,0.0
428.0,0.0
429.0,0.0
430.0,0.0
431.0,0.0
432.0,0.0
433.0,0.0
434.0,0.0
435.0,0.0
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.0
441.0,0.0
442.0,0.0
443.0,0.0
444.0,0.0
445.0,0.0
446.0,0.0
447.0,0.0
448.0,0.0
449.0,0.0
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
511.0,0.0
512.0,0.0
513.0,9.505800500560121e-17
514.0,7.538567069802956e-15
515.0,6.417368032883697e-17
516.0,0.0
517.0,1.521091089784117e-16
518.0,2.079347376213892e-14
519.0,2.1779036404631397e-16
520.0,0.0
521.0,2.6692007697524114e-16
522.0,6.680830262939498e-15
523.0,7.352331032316507e-16
524.0,0.0
525.0,0.0
526.0,6.5925344980954474e-15
527.0,2.4323445092245142e-15
528.0,0.0
529.0,0.0
530.0,9.252007141831664e-15
531.0,7.706523564367537e-15
532.0,0.0
533.0,0.0
534.0,1.5554575826287468e-14
535.0,2.2561701790187716e-14
536.0,0.0
537.0,0.0
538.0,2.947718065689959e-14
539.0,5.855947943888724e-14
540.0,0.0
541.0,0.0
542.0,6.147507746239694e-14
543.0,1.3006064261469955e-13
544.0,0.0
545.0,0.0
546.0,1.407348866650025e-13
547.0,2.4485255529740794e-13
548.0,0.0
549.0,0.0
550.0,3.5922424681196795e-13
551.0,3.9896513035002394e-13
552.0,0.0
553.0,1.0890416826240052e-13
554.0,1.630098773502254e-12
555.0,5.855486990552673e-13
556.0,3.821729744946172e-13
557.0,9.34886347253704e-13
558.0,5.598320176029481e-12
559.0,3.463801827560862e-11
560.0,1.3009511773243637e-12
561.0,4.07084316601749e-12
562.0,9.972342384995152e-11
563.0,2.10955832840766e-12
564.0,2.5170951794029726e-11
565.0,1.7411656761679337e-08
566.0,7.879238116702956e-10
567.0,8.494693688581865e-11
568.0,3.6957244559849147e-09
569.0,8.514510047106753e-11
570.0,4.1071562208894557e-10
571.0,1.996956847573056e-09
572.0,3.1587614739346555e-10
573.0,6.507912723080822e-09
574.0,1.524939717996775e-09
575.0,5.099924780512356e-09
576.0,3.8016863612403654e-09
577.0,1.9744705850599492e-09
578.0,4.603323349296089e-09
579.0,2.412598990486052e-09
580.0,2.3901700117434325e-09
581.0,3.6665175031457214e-09
582.0,4.4952634249847045e-09
583.0,2.62977781399776e-09
584.0,3.168763207503147e-09
585.0,1.2143255296299484e-08
586.0,3.860988174107845e-09
587.0,1.2405718244717379e-08
588.0,3.9509820374976195e-08
589.0,5.963415050586745e-09
590.0,4.0358985029655107e-07
591.0,1.1759472378820721e-07
592.0,1.1268273262012311e-08
593.0,7.477373508759321e-08
594.0,5.663544005097775e-07
595.0,4.393956887069767e-08
596.0,4.2789338949739585e-08
597.0,6.529474741960886e-06
598.0,3.8960988231402496e-08
599.0,6.495994961114312e-08
600.0,1.256321741367702e-05
601.0,1.2244400799150093e-07
602.0,1.2468436024941673e-07
603.0,3.7542132127760525e-06
604.0,1.504083201186792e-06
605.0,2.3014024621602063e-07
606.0,2.5623335987831427e-06
607.0,1.5101355723540924e-06
608.0,3.402705671936625e-07
609.0,3.0244169933022103e-06
610.0,5.506046424250354e-07
611.0,6.462319096822006e-07
612.0,2.7973251810168048e-06
613.0,5.475395595283136e-07
614.0,1.2716381970361634e-06
615.0,4.214699301393843e-06
616.0,8.358208948313141e-07
617.0,3.3330970576513837e-06
618.0,6.332032209383654e-05
619.0,2.7081283107635565e-06
620.0,5.267401493636438e-06
621.0,7.905406225628945e-06
622.0,7.5806475282053245e-06
