wavenumbers,absorbance
400.0,1.1570101071225e-78
401.0,1.2971499151310986e-06
402.0,0.0
403.0,0.0
404.0,0.0
405.0,0.0
406.0,0.0
407.0,0.0
408.0,0.0
409.0,0.0
410.0,0.0
411.0,0.0
412.0,3.826072524494965e-71
413.0,0.0
414.0,0.0
415.0,0.0
416.0,4.713145749564631e-32
417.0,0.0
418.0,3.992856443304211e-76
419.0,6.842584659144932e-79
420.0,0.0
421.0,0.0
422.0,0.0
423.0,0.0
424.0,0.0
425.0,0.0
426.0,0.0
427.0,0.0
428.0,1.9690719762229817e-54
429.0,0.0
430.0,0.0
431.0,0.0
432.0,0.0
433.0,0.0
434.0,0.0
435.0,2.5238097112949084e-50
436.0,1.2744581268697181e-60
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.0
441.0,0.0
442.0,0.0
443.0,0.0
444.0,2.1985520930380152e-36
445.0,2.5446985299580124e-34
446.0,0.0
447.0,5.3276321399954944e-51
448.0,4.270825544088231e-70
449.0,0.0
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,1.6500506859910093e-31
461.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,4.38836057959695e-65
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,9.107741940882014e-11
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,1.0595525008554688e-42
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,1.2099111491412177e-79
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,4.162301056301811e-55
500.0,5.749573830241444e-79
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,4.965388142946368e-25
508.0,0.0
509.0,0.0
510.0,0.0
511.0,6.558937833856343e-50
512.0,0.0
513.0,0.0
514.0,1.0688772439440531e-64
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,3.1120116800210446e-77
520.0,0.0
521.0,0.0
522.0,0.0
523.0,0.0
524.0,2.24400899330966e-81
525.0,0.0
526.0,0.0
527.0,0.0
528.0,0.0
529.0,0.0
530.0,0.0
531.0,2.054451434519045e-46
532.0,1.026912061271952e-32
533.0,0.0
534.0,0.0
535.0,0.0
536.0,0.0
537.0,0.0
538.0,6.734451890619615e-79
539.0,0.0
540.0,0.0
541.0,0.0
542.0,0.0
543.0,3.7042465519950515e-79
544.0,0.0
545.0,0.0
546.0,0.0
547.0,0.0
548.0,0.0
549.0,0.0
550.0,0.0
551.0,0.0
552.0,0.0
553.0,0.0
554.0,0.0
555.0,0.0
556.0,0.0
557.0,0.0
558.0,0.0
559.0,0.0
560.0,0.0
561.0,0.0
562.0,0.0
563.0,0.0
564.0,1.7056145653989004e-27
565.0,0.0
566.0,0.0
567.0,1.471684544634905e-56
568.0,6.702717851045858e-73
569.0,0.0
570.0,0.0
571.0,2.898852944985524e-75
572.0,0.0
573.0,0.0
574.0,0.0
575.0,0.0
576.0,0.0
577.0,0.0
578.0,0.0
579.0,0.0
580.0,0.0
581.0,0.0
582.0,0.0
583.0,0.0
584.0,0.0
585.0,0.0
586.0,0.0
587.0,1.672103421037346e-77
588.0,0.0
589.0,0.0
590.0,0.0
591.0,0.0
592.0,0.0
593.0,0.0
594.0,7.106456079209532e-79
595.0,0.0
596.0,9.068637471374229e-38
597.0,0.0
598.0,0.0
599.0,0.0
600.0,9.212588322900755e-78
601.0,0.0
602.0,0.0
603.0,0.0
604.0,0.0
605.0,0.0
606.0,0.0
607.0,9.670227185157328e-78
608.0,0.0
609.0,9.175433299221732e-79
610.0,0.0
611.0,0.0
612.0,2.3358771683295416e-76
613.0,0.0
614.0,0.0
615.0,0.0
616.0,7.292192179198939e-21
617.0,0.0
618.0,5.078867290769741e-42
619.0,0.0
620.0,0.0
621.0,9.282019468576473e-75
622.0,6.870542246100912e-80
623.0,0.0
624.0,0.0
625.0,0.0
626.0,0.0
627.0,0.0
628.0,0.0
629.0,0.0
630.0,1.869048144608079e-77
631.0,0.0
632.0,0.0
633.0,0.0
634.0,0.0
635.0,0.0
636.0,0.0
637.0,9.961965454350595e-29
638.0,0.0
639.0,0.0
640.0,3.800194668549511e-77
641.0,0.0
642.0,0.0
643.0,0.0
644.0,2.973208818240714e-78
645.0,0.0
646.0,7.689076740804009e-79
647.0,1.1770731305052079e-80
648.0,0.0
649.0,0.0
650.0,2.1404911582767465e-74
651.0,1.067806056584983e-74
652.0,0.0
653.0,3.8685804926533063e-76
654.0,0.0
655.0,0.0
656.0,0.0
657.0,1.2485690842490188e-76
658.0,0.0
659.0,0.0
660.0,0.0
661.0,0.0
662.0,2.324196159960803e-32
663.0,0.0
664.0,0.0
665.0,0.0
666.0,4.467053094907355e-77
667.0,3.733192478593055e-76
668.0,0.0
669.0,7.933031463003162e-76
670.0,0.0
671.0,0.0
672.0,0.0
673.0,0.0
674.0,0.0
675.0,0.0
676.0,0.0
677.0,0.0
678.0,0.0
679.0,0.0
680.0,0.0
681.0,0.0
682.0,0.0
683.0,0.0
684.0,0.0
685.0,0.0
686.0,0.0
687.0,5.315177808315724e-79
688.0,0.0
689.0,0.0
690.0,0.0
691.0,0.0
692.0,0.0
693.0,6.230154033828764e-73
694.0,0.0
695.0,0.0
696.0,0.0
697.0,0.0
698.0,2.4075186837804094e-74
699.0,0.0
700.0,0.0
701.0,0.0
702.0,0.0
703.0,0.0
704.0,9.038986646997052e-73
705.0,0.0
706.0,0.0
707.0,0.0
708.0,0.0
709.0,0.0
710.0,0.0
711.0,0.0
712.0,0.0
713.0,0.0
714.0,0.0
715.0,0.0
716.0,0.0
717.0,0.0
718.0,0.0
719.0,0.0
720.0,0.0
721.0,0.0
722.0,0.0
723.0,0.0
724.0,0.0
725.0,0.0
726.0,0.0
727.0,0.0
728.0,0.0
729.0,0.0
730.0,0.0
731.0,0.0
732.0,0.0
733.0,0.0
734.0,0.0
735.0,0.0
736.0,0.0
737.0,0.0
738.0,0.0
739.0,0.0
740.0,0.0
741.0,0.0
742.0,0.0
743.0,0.0
744.0,0.0
745.0,0.0
746.0,4.1851176803949916e-80
747.0,0.0
748.0,0.0
749.0,0.0
750.0,0.0
751.0,0.0
752.0,9.269801416257752e-72
753.0,0.0
754.0,0.0
755.0,0.0
756.0,7.731612394363309e-75
757.0,0.0
758.0,5.100088613761053e-74
759.0,0.0
760.0,1.072132451586275e-70
761.0,2.7450653480573207e-70
762.0,0.0
763.0,0.0
764.0,1.3910728023295214e-73
765.0,0.0
766.0,0.0
767.0,0.0
768.0,0.0
769.0,2.3862212308784103e-69
770.0,0.0
771.0,1.082064930985893e-78
772.0,0.0
773.0,0.0
774.0,0.0
775.0,8.292391389143405e-74
776.0,2.4477829462386906e-71
777.0,9.432747867154484e-73
778.0,0.0
779.0,0.0
780.0,0.0
781.0,0.0
782.0,0.0
783.0,0.0
784.0,2.221428333134922e-74
785.0,0.0
786.0,0.0
787.0,6.176126699438225e-70
788.0,0.0
789.0,0.0
790.0,1.2199621933078988e-72
791.0,1.866227454559277e-74
792.0,5.351272440282793e-72
793.0,7.833523118019354e-71
794.0,1.000941445952481e-69
795.0,0.0
796.0,0.0
797.0,0.0
798.0,0.0
799.0,0.0
800.0,1.5993945876114828e-74
801.0,8.548299495225996e-75
802.0,3.969055109168676e-71
803.0,0.0
804.0,0.0
805.0,0.0
806.0,4.553344230528168e-71
807.0,0.0
808.0,4.277530038809338e-74
809.0,6.399654973808982e-75
810.0,0.0
811.0,0.0
812.0,0.0
813.0,7.514867569908677e-68
814.0,1.1478066960489732e-70
815.0,0.0
816.0,0.0
817.0,1.430095206753774e-73
818.0,0.0
819.0,0.0
820.0,0.0
821.0,1.166233474496865e-71
822.0,2.532316963262228e-74
823.0,4.937346397388497e-72
824.0,1.4240766920082745e-66
825.0,6.219304825834962e-66
826.0,0.0
827.0,0.0
828.0,3.524695343084691e-67
829.0,1.203103018840825e-65
830.0,5.778721734658102e-73
831.0,6.59140186637112e-76
832.0,4.646237962797195e-75
833.0,1.0849008363803181e-71
834.0,0.0
835.0,0.0
836.0,3.084257387949022e-75
837.0,6.692088393439027e-74
838.0,9.8933037652725e-75
839.0,0.0
840.0,0.0
841.0,0.0
842.0,0.0
843.0,1.1726612874933675e-71
844.0,4.2419416316408695e-72
845.0,6.476022391787667e-75
846.0,8.661639366850295e-72
847.0,0.0
848.0,2.906383512310815e-71
849.0,1.4426134475705978e-74
850.0,2.2055247448397375e-72
851.0,5.703587326138044e-73
852.0,1.1323528949668856e-72
853.0,0.0
854.0,0.0
855.0,0.0
856.0,0.0
857.0,0.0
858.0,0.0
859.0,7.724648790108386e-66
860.0,1.1900958160482088e-74
861.0,4.8331497222079854e-73
862.0,8.79325028323336e-75
863.0,2.308449936311461e-65
864.0,0.0
865.0,2.632861962788948e-74
866.0,0.0
867.0,7.163807291513767e-72
868.0,5.274051811122381e-72
869.0,0.0
870.0,7.046340981606022e-72
871.0,2.6611315671969542e-73
872.0,0.0
873.0,0.0
874.0,1.6487320073820195e-73
875.0,1.2035254759337618e-71
876.0,1.0333600276340464e-74
877.0,5.290913456407656e-64
878.0,5.425158598665372e-69
879.0,0.0
880.0,4.2805498964690825e-73
881.0,3.17332909106429e-66
882.0,0.0
883.0,1.5297959075976675e-71
884.0,0.0
885.0,1.3913661636015423e-66
886.0,2.9952086543789074e-73
887.0,5.191621052253325e-71
888.0,2.7892978861253975e-71
889.0,3.1453907512220865e-74
890.0,0.0
891.0,2.665961252971716e-73
892.0,0.0
893.0,4.41962824622224e-73
894.0,1.4456268717214866e-70
895.0,1.7044848129225215e-72
896.0,2.696432625272991e-72
897.0,7.019232327725739e-65
898.0,0.0
899.0,0.0
900.0,1.8545030881626226e-70
901.0,0.0
902.0,9.29024233212016e-73
903.0,0.0
904.0,0.0
905.0,0.0
906.0,1.7260032988592797e-71
907.0,1.2011476745484007e-70
908.0,0.0
909.0,0.0
910.0,1.0598370895745236e-72
911.0,1.6741178036439096e-63
912.0,9.415704958937935e-65
913.0,0.0
914.0,5.594916510402622e-67
915.0,2.3429948690812888e-68
916.0,0.0
917.0,9.233532765187827e-73
918.0,4.581476091152396e-73
919.0,0.0
920.0,0.0
921.0,0.0
922.0,0.0
923.0,9.284968716411493e-73
924.0,1.0457400429993148e-69
925.0,0.0
926.0,6.299922762690296e-72
927.0,0.0
928.0,1.500403384484938e-78
929.0,0.0
930.0,1.804805185205717e-63
931.0,2.151222268351573e-73
932.0,1.317256687468784e-70
933.0,0.0
934.0,0.0
935.0,0.0
936.0,0.0
937.0,0.0
938.0,0.0
939.0,0.0
940.0,0.0
941.0,4.0212073887977345e-73
942.0,1.3212940581856144e-73
943.0,0.0
944.0,9.296858951574463e-72
945.0,0.0
946.0,0.0
947.0,2.4505334717773047e-72
948.0,9.832286707885977e-73
949.0,0.0
950.0,1.739365284901118e-80
951.0,2.9446049413134725e-74
952.0,6.728052173272456e-69
953.0,6.227018227278357e-71
954.0,2.610337734193248e-73
955.0,0.0
956.0,1.0117148297094152e-63
957.0,0.0
958.0,2.221207781175128e-72
959.0,0.0
960.0,0.0
961.0,3.591892540418649e-71
962.0,4.842623667768433e-72
963.0,0.0
964.0,3.413516805048519e-68
965.0,1.0517339436314397e-71
966.0,4.991495622121917e-72
967.0,3.942378180602708e-71
968.0,0.0
969.0,2.4655816342162637e-71
970.0,0.0
971.0,0.0
972.0,3.65324689530088e-72
973.0,1.84102993286055e-72
974.0,0.0
975.0,1.8748715276728282e-64
976.0,4.543034598748305e-71
977.0,2.990612973782626e-60
978.0,1.231263664041367e-72
979.0,0.0
980.0,6.256604727604166e-81
981.0,4.134174189217352e-69
982.0,6.007752737346244e-70
983.0,0.0
984.0,2.7853591690426357e-70
985.0,5.2844802079593676e-70
986.0,2.6586273934678554e-70
987.0,0.0
988.0,1.765106338183764e-72
989.0,0.0
990.0,0.0
991.0,8.972660579895378e-70
992.0,3.793565644645346e-71
993.0,2.053464998448946e-61
994.0,5.579230093525464e-72
995.0,3.0364651296802577e-72
996.0,0.0
997.0,0.0
998.0,2.609106107203748e-68
999.0,1.5844996415740472e-69
1000.0,2.358073083778727e-68
1001.0,0.0
1002.0,6.5947126774483e-72
1003.0,3.7017385367644326e-80
1004.0,9.27472561041098e-70
1005.0,9.572132428392009e-71
1006.0,0.0
1007.0,6.06425038374047e-71
1008.0,4.3208009885043455e-60
1009.0,5.965242844537315e-69
1010.0,4.006586028770581e-58
1011.0,8.850584783224604e-72
1012.0,0.0
1013.0,2.8123920742024547e-71
1014.0,1.0126258655310313e-71
1015.0,0.0
1016.0,0.0
1017.0,2.90022143514094e-68
1018.0,1.0816821081958715e-71
1019.0,0.0
1020.0,0.0
1021.0,5.090382753065551e-70
1022.0,0.0
1023.0,1.2388320046535146e-70
1024.0,0.0
1025.0,9.750073649789843e-65
1026.0,1.002210198080754e-58
1027.0,0.0
1028.0,6.537713390346937e-70
1029.0,7.85205157323632e-71
1030.0,7.092285084849511e-70
1031.0,0.0
1032.0,0.0
1033.0,2.998438025325466e-70
1034.0,2.668566804942271e-70
1035.0,4.862948198387521e-63
1036.0,6.6258171592152754e-80
1037.0,0.0
1038.0,1.6089131772631884e-67
1039.0,5.81064707118646e-62
1040.0,0.0
1041.0,0.0
1042.0,4.0903052736021894e-69
1043.0,1.4009736418944202e-69
1044.0,0.0
1045.0,0.0
1046.0,1.4058020892108694e-68
1047.0,2.0022477747657062e-70
1048.0,0.0
1049.0,0.0
1050.0,1.7582290873123898e-70
1051.0,3.7473502995393927e-69
1052.0,0.0
1053.0,0.0
1054.0,1.8160075204978463e-68
1055.0,0.0
1056.0,0.0
1057.0,3.3605512025839037e-70
1058.0,0.0
1059.0,1.4057880592234035e-64
1060.0,0.0
1061.0,1.045739001063565e-68
1062.0,5.537570744704904e-59
1063.0,0.0
1064.0,0.0
1065.0,0.0
1066.0,3.574899327410206e-60
1067.0,0.0
1068.0,1.5452097694456546e-69
1069.0,3.491785174832415e-70
1070.0,0.0
1071.0,0.0
1072.0,6.966066466859e-57
1073.0,5.684541795869146e-69
1074.0,0.0
1075.0,5.623488539957821e-69
1076.0,1.457193799602372e-70
