wavenumbers,absorbance
400.0,8.106426046531647e-63
401.0,5.649024842901691e-20
402.0,1.0055530732694063e-38
403.0,7.4252320666762905e-25
404.0,3.9516437685299024e-19
405.0,2.015880486805419e-17
406.0,1.0483409313693393e-35
407.0,3.473787908962691e-21
408.0,1.7335194893870916e-28
409.0,6.732571389634e-27
410.0,2.1405832589886171e-19
411.0,1.961711017750516e-18
412.0,5.314569937159932e-24
413.0,4.6468693283267347e-23
414.0,1.9707350906906273e-28
415.0,2.2952373434557653e-28
416.0,1.8858542895408977e-19
417.0,3.2110781376034527e-19
418.0,6.00389860479829e-24
419.0,4.987463494217737e-24
420.0,3.719871988384193e-28
421.0,1.375779775785665e-29
422.0,1.2007230908061026e-19
423.0,6.370284455744084e-20
424.0,8.277770641633781e-24
425.0,5.062315593219195e-25
426.0,2.4032503183617896e-28
427.0,1.5459280041379833e-33
428.0,1.0959685683485676e-19
429.0,9.191460857264064e-21
430.0,1.889673086555704e-23
431.0,5.729813887987987e-31
432.0,5.650261057626021e-30
433.0,2.2707010222652693e-31
434.0,6.129440336226847e-19
435.0,2.0340466069585835e-21
436.0,7.062512593508394e-23
437.0,1.927598411212061e-31
438.0,5.071140946718084e-32
439.0,5.145529883909509e-33
440.0,3.57564567191829e-20
441.0,1.6850096312022307e-26
442.0,1.1614128534596779e-25
443.0,4.363964616081878e-31
444.0,6.500262829610112e-34
445.0,1.2649364301734475e-34
446.0,4.33012480730671e-20
447.0,1.7112656880689378e-26
448.0,6.061481151042963e-27
449.0,3.5789084144153286e-30
450.0,9.480110790519456e-34
451.0,8.215357168893061e-23
452.0,3.709764713625242e-21
453.0,1.8260624131280094e-25
454.0,5.708263144651511e-28
455.0,7.666359817909081e-32
456.0,1.674341730906874e-34
457.0,4.4577941277457925e-23
458.0,1.7624925001370324e-22
459.0,2.472278815805784e-27
460.0,2.182698853038771e-29
461.0,1.528113282090455e-32
462.0,8.154337414255628e-36
463.0,3.900670311062594e-23
464.0,1.529993716752771e-23
465.0,8.875087384491851e-28
466.0,7.600261381751695e-31
467.0,1.547336097154102e-33
468.0,8.347588354580896e-39
469.0,1.0148286697029025e-22
470.0,1.942514055569292e-24
471.0,1.0406278944861488e-30
472.0,2.4203417255364672e-32
473.0,3.576186558573559e-36
474.0,9.511805916639933e-43
475.0,1.0400640213241658e-23
476.0,4.777786875753784e-28
477.0,1.223287986602029e-30
478.0,2.260445793416357e-33
479.0,1.5728497857414782e-39
480.0,5.617891584819827e-48
481.0,1.3504072662244752e-24
482.0,1.1320377163697544e-29
483.0,4.1711766089092066e-32
484.0,2.0338734883674784e-36
485.0,2.5529110781106884e-44
486.0,1.747906173018655e-26
487.0,6.705357291678822e-24
488.0,9.16146779151383e-29
489.0,2.3182092757079062e-33
490.0,7.801422511029052e-38
491.0,1.9679551857095645e-69
492.0,6.4434420823605384e-27
493.0,1.2924768546483464e-26
494.0,1.5213023156016208e-30
495.0,1.6742585714051088e-34
496.0,1.116244092248075e-45
497.0,3.487636238387521e-67
498.0,5.497768344111495e-27
499.0,1.5855069583027173e-28
500.0,2.438522986481344e-31
501.0,1.592325844552193e-38
502.0,1.8812562027454458e-65
503.0,2.7349665718415156e-64
504.0,1.9302413950084624e-28
505.0,1.3351428988362417e-29
506.0,8.011928530976666e-35
507.0,2.0970331213282095e-65
508.0,5.039341623814688e-62
509.0,4.558934009450276e-29
510.0,5.026699514879442e-28
511.0,4.8647763300350966e-31
512.0,2.6217727110366176e-39
