wavenumbers,absorbance
400.0,1.2355986956382272e-07
401.0,3.9010242985468727e-07
402.0,3.365543240701971e-07
403.0,1.6930978718856435e-07
404.0,8.696919955406423e-08
405.0,3.0719778020137133e-07
406.0,3.837049462754885e-08
407.0,4.623649248741835e-08
408.0,2.1301796203762735e-07
409.0,4.950441460557483e-09
410.0,6.046731431010711e-09
411.0,1.0093142989674722e-07
412.0,2.9513080914377195e-09
413.0,1.6465422598782908e-08
414.0,4.9846922748333185e-08
415.0,2.0561917571253673e-08
416.0,1.2516457152921205e-07
417.0,5.150521510225695e-08
418.0,2.6214153031398788e-08
419.0,3.0165919340265035e-07
420.0,2.2589424615083927e-08
421.0,1.2641699718319512e-07
422.0,7.010642573063262e-08
423.0,6.918927391694094e-08
424.0,5.218963339277054e-07
425.0,1.4765361525706776e-07
426.0,8.978343945970581e-07
427.0,4.3006126153329173e-07
428.0,3.108090885659215e-07
429.0,8.227686967296567e-08
430.0,1.108131186182577e-07
431.0,2.137139371680681e-07
432.0,9.898742327628387e-08
433.0,3.592065540489113e-07
434.0,8.425280122409086e-08
435.0,1.0724167363688063e-07
436.0,4.4853791336374666e-08
437.0,1.2871893591473103e-07
438.0,5.9244544735112465e-08
439.0,2.5374197422988957e-07
440.0,3.016472939197364e-08
441.0,5.839851604247476e-08
442.0,2.4308132620567185e-08
443.0,2.719335473068324e-08
444.0,1.6563391100701732e-08
445.0,1.4076706253778249e-08
446.0,1.2892514460625858e-08
447.0,9.578069712144979e-09
448.0,1.0101699246556499e-09
449.0,3.3260815987283166e-10
450.0,1.0588288832669918e-10
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
511.0,0.0
512.0,0.0
513.0,0.0
514.0,0.0
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,0.0
520.0,0.0
521.0,0.0
522.0,0.0
523.0,0.0
524.0,0.0
525.0,0.0
526.0,0.0
527.0,0.0
528.0,0.0
529.0,0.0
530.0,0.0
531.0,0.0
532.0,0.0
533.0,0.0
534.0,0.0
535.0,0.0
536.0,0.0
537.0,0.0
538.0,0.0
539.0,0.0
540.0,0.0
541.0,0.0
542.0,0.0
543.0,0.0
544.0,0.0
545.0,0.0
546.0,0.0
547.0,0.0
548.0,0.0
549.0,0.0
550.0,0.0
551.0,0.0
