wavenumbers,absorbance
400.0,5.184031527404386e-13
401.0,4.352354037397328e-12
402.0,5.117286680433805e-11
403.0,2.7599918729817246e-11
404.0,6.226131788633746e-11
405.0,3.4874995049753433e-11
406.0,1.80942176860711e-11
407.0,3.883586705488929e-12
408.0,9.615263764607235e-11
409.0,1.8161895297970378e-12
410.0,6.14294617666988e-11
411.0,1.1747382006137105e-10
412.0,1.1647460182929263e-09
413.0,8.712768627137722e-10
414.0,5.8800640575228504e-09
415.0,1.866890788010727e-09
416.0,1.4705333400982042e-10
417.0,5.957957321056606e-11
418.0,5.804501706026679e-11
419.0,8.978592605233279e-11
420.0,2.952262217599333e-10
421.0,1.206252656665432e-10
422.0,4.1715217741257733e-10
423.0,2.0729824064015775e-10
424.0,4.1606054656309515e-11
425.0,5.4152924899073493e-11
426.0,1.6007703919668036e-11
427.0,8.242238683657753e-11
428.0,3.860317741153031e-11
429.0,7.19614744518553e-11
430.0,1.7906402348995419e-09
431.0,3.5154708046947236e-10
432.0,2.7395681274321105e-09
433.0,9.682923342345422e-09
434.0,6.522037343390917e-09
435.0,1.8927219041245218e-10
436.0,7.687132194806732e-11
437.0,2.0298513677375814e-11
438.0,9.088251706846145e-11
439.0,1.2935824554865688e-10
440.0,3.685573428969656e-11
441.0,2.4785364055177886e-11
442.0,1.5904181524550916e-11
443.0,2.8820929206115053e-10
444.0,2.7405020527755774e-11
445.0,4.1952321347705316e-11
446.0,1.5489126517544503e-11
447.0,2.3497732565426128e-11
448.0,9.294806367736223e-11
449.0,9.779100211749388e-10
450.0,1.5368526754250527e-10
451.0,6.029916422481338e-09
452.0,5.694290375481483e-10
453.0,4.0706321290901877e-10
454.0,1.0027877999722259e-08
455.0,1.1636674714846917e-10
456.0,7.08377008443995e-11
457.0,1.3185741546576406e-10
458.0,6.497092817964798e-11
459.0,3.2379958092560545e-11
460.0,1.9476478872217873e-11
461.0,2.899660792294403e-11
462.0,5.970281632384291e-12
463.0,2.873036224465905e-12
464.0,2.3282726084133603e-11
465.0,8.293611787975303e-11
466.0,8.926678726614048e-11
467.0,4.0535654380914297e-10
468.0,1.7310850429266526e-10
469.0,6.281424140584223e-11
470.0,1.0682222723792784e-09
471.0,2.3246089850218376e-10
472.0,5.5647775471928864e-09
473.0,2.1619194946186871e-10
474.0,8.387032713918625e-09
475.0,4.109579062216541e-10
476.0,4.489151164837427e-11
477.0,8.048135121092319e-12
478.0,1.725900956620214e-11
479.0,1.7985553795465222e-12
480.0,2.6336080215396072e-12
481.0,9.466661924013306e-12
482.0,7.396207582876298e-11
483.0,4.670399354846135e-12
