wavenumbers,absorbance
400.0,2.863951341292898e-14
401.0,2.330052900233752e-15
402.0,3.933733152080151e-16
403.0,3.73113187580486e-15
404.0,1.8098354367083973e-15
405.0,1.6943235228500358e-14
406.0,3.590161206284791e-15
407.0,1.6379223294892185e-16
408.0,9.872851268538876e-15
409.0,3.4193642095417973e-15
410.0,7.422319238719836e-16
411.0,1.6491453960169242e-15
412.0,2.965816537937265e-15
413.0,3.5537834206457435e-15
414.0,1.5000719349751582e-15
415.0,1.4279718637219979e-15
416.0,9.033681428134297e-14
417.0,3.2022315323207906e-15
418.0,6.153709534204231e-16
419.0,2.890564728932227e-15
420.0,8.18955959766029e-14
421.0,9.195411165485543e-13
422.0,2.9586036616756236e-14
423.0,3.1394050007206695e-14
424.0,3.196602697575646e-14
425.0,9.75712476095779e-15
426.0,5.975860623900368e-15
427.0,1.153349586452823e-14
428.0,1.772982213197754e-13
429.0,3.1095295597389146e-15
430.0,8.948432554085158e-14
431.0,4.275891309147319e-15
432.0,9.508965959594475e-14
433.0,1.5980522990375713e-14
434.0,4.269443745234429e-15
435.0,1.2751147342693481e-13
436.0,6.885770275788061e-14
437.0,5.051782185023921e-14
438.0,4.34585117668435e-15
439.0,3.235617535747907e-13
440.0,4.181037260335597e-13
441.0,1.821924301774737e-14
442.0,2.720928019314889e-11
443.0,2.843556904387802e-14
444.0,8.413499798710156e-15
445.0,1.9232189653323676e-12
446.0,1.1836595728607663e-14
447.0,2.536712116259477e-15
448.0,8.566205636725442e-13
449.0,3.339420414941995e-14
450.0,4.9113490484254106e-15
451.0,1.354565709939007e-12
452.0,2.313233421009088e-15
453.0,1.7347569022209687e-14
454.0,1.0151420086303992e-12
455.0,5.587366929031076e-15
456.0,1.2201862267562938e-13
457.0,1.4395749346605512e-12
458.0,6.06870412390107e-14
459.0,1.3720575120705501e-14
460.0,3.8308304982636534e-12
461.0,1.7683215211240376e-12
462.0,1.1817404380925953e-14
463.0,1.7335840769163614e-10
464.0,1.0944851766653102e-13
465.0,5.517742061086521e-14
466.0,6.614758379980311e-12
