wavenumbers,absorbance
400.0,3.359453719403326e-08
401.0,5.778381986345051e-07
402.0,2.530703446266266e-06
403.0,1.3299066380137797e-05
404.0,7.377318058094079e-07
405.0,8.925056852048135e-07
406.0,6.451971598260716e-06
407.0,4.150845696681412e-07
408.0,8.916959831026766e-07
409.0,6.011163324281674e-07
410.0,1.0875286368733906e-06
411.0,3.822056128105752e-06
412.0,3.092511546224225e-08
413.0,1.0722535123578918e-08
414.0,4.819629909645955e-07
415.0,8.742518772279548e-06
416.0,1.6813195972095597e-06
417.0,1.1085324447430211e-06
418.0,2.5359649240373948e-05
419.0,4.343500290190464e-07
420.0,5.181364486906678e-07
421.0,6.447758177070708e-07
422.0,7.014566255649208e-07
423.0,1.2537624824874944e-06
424.0,2.2144425110146827e-08
425.0,6.826184037285818e-07
426.0,8.329653893380111e-09
427.0,0.0
428.0,0.0
429.0,2.973055232335087e-07
430.0,4.260223311797058e-06
431.0,1.3239831253798642e-06
432.0,9.364351356304548e-07
433.0,1.1996154715024617e-06
434.0,1.201466344791923e-06
435.0,1.966087652421145e-06
436.0,8.591517801420938e-08
437.0,1.7727171851028638e-07
438.0,1.6507830603207304e-08
439.0,2.9440823745851402e-06
440.0,7.3097268928009e-09
441.0,0.0
442.0,2.102962548493748e-07
443.0,2.9943090146116422e-06
444.0,1.1367427397206819e-06
445.0,0.00014050561290439097
446.0,2.697896511052732e-07
447.0,3.2024646552020666e-05
448.0,3.728057279225303e-06
449.0,1.2777572435809016e-07
450.0,1.5224974366389862e-06
451.0,4.847632092807841e-08
452.0,3.6799963335268985e-09
453.0,7.140780146932796e-10
454.0,0.0
455.0,4.1356466871811886e-10
456.0,3.1085966183774563e-09
457.0,2.909568193268546e-07
458.0,1.3584068629614101e-05
459.0,7.92670646725435e-07
460.0,1.3243970445976421e-07
461.0,9.35017296071649e-07
462.0,6.976163030867177e-08
463.0,2.161915948793556e-09
464.0,1.9265864194108864e-09
465.0,1.854108479037118e-08
466.0,1.7117093687858834e-08
467.0,7.96864023623212e-08
468.0,9.21537936503691e-09
469.0,2.148683149413596e-08
470.0,9.66936677672454e-08
471.0,1.758717740264886e-06
472.0,8.208995263431896e-05
473.0,5.51993215361345e-07
474.0,4.803795379596086e-08
475.0,9.212091229114777e-09
476.0,6.971165179519108e-09
477.0,4.994516869143361e-10
478.0,0.0
479.0,2.0248145818661615e-09
480.0,4.89659199683191e-09
481.0,1.1226753218241669e-09
482.0,1.0830119873178345e-08
483.0,8.665637003679216e-09
484.0,1.0417543377234428e-09
485.0,1.193765575958583e-06
486.0,6.005429482140255e-07
487.0,3.213183006318211e-08
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,7.547414766533119e-10
496.0,6.319649810426182e-09
497.0,7.763690185925027e-09
498.0,8.630256890644935e-08
499.0,4.261110748224472e-06
500.0,1.1676563447336731e-07
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,1.2185989887751878e-09
507.0,1.8341955467033537e-07
508.0,9.306233214206784e-10
509.0,0.0
510.0,0.0
511.0,7.400515066263813e-09
512.0,2.9630850064907943e-06
513.0,1.2410637633797755e-07
514.0,0.0
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,0.0
520.0,0.0
521.0,0.0
522.0,0.0
523.0,0.0
524.0,1.8615913220559428e-09
525.0,1.823634300489337e-07
526.0,6.992608787617497e-08
527.0,1.7102294314533118e-06
528.0,0.0
529.0,0.0
530.0,0.0
531.0,0.0
532.0,0.0
533.0,0.0
534.0,0.0
535.0,0.0
536.0,0.0
537.0,2.3992568897229717e-09
538.0,2.7862907577979953e-07
539.0,4.645047505019238e-08
540.0,6.070804576915632e-08
541.0,0.0
542.0,0.0
543.0,0.0
544.0,0.0
545.0,0.0
546.0,0.0
547.0,0.0
548.0,0.0
549.0,0.0
550.0,0.0
551.0,5.038030486389546e-09
552.0,3.288952078046633e-07
553.0,3.2638882181206265e-09
554.0,4.361419655826897e-08
555.0,4.0817040401488654e-08
556.0,0.0
557.0,0.0
558.0,0.0
559.0,0.0
560.0,0.0
561.0,0.0
562.0,0.0
