wavenumbers,absorbance
400.0,2.91721774565677e-80
401.0,4.545842824283685e-41
402.0,0.0
403.0,6.104712660110319e-44
404.0,0.0
405.0,0.0
406.0,1.0247471799382241e-36
407.0,0.0
408.0,0.0
409.0,0.0
410.0,9.377439335954154e-31
411.0,1.409981921738461e-09
412.0,1.1247881198456905e-14
413.0,5.4865203820981e-21
414.0,0.0
415.0,0.0
416.0,0.0
417.0,1.1253767510572807e-36
418.0,0.0
419.0,0.0
420.0,4.132947994807343e-43
421.0,2.597590351584889e-31
422.0,0.0
423.0,0.0
424.0,1.4959189717877681e-10
425.0,1.4171547483484414e-10
426.0,0.0
427.0,3.477539445497036e-37
428.0,3.761903171663685e-49
429.0,2.668694443163528e-44
430.0,2.841371383021731e-44
431.0,0.0
432.0,5.273332672947308e-32
433.0,0.0
434.0,0.0
435.0,1.8923037761160494e-28
436.0,2.300336892674375e-28
437.0,7.746481619637541e-38
438.0,1.3069890591144907e-10
439.0,2.4578872795367744e-17
440.0,0.0
441.0,0.0
442.0,0.0
443.0,1.229196527482454e-33
444.0,0.0
445.0,0.0
446.0,0.0
447.0,2.5435894017780513e-26
448.0,0.0
449.0,0.0
450.0,3.610429791837778e-23
451.0,9.100271292883029e-18
452.0,6.647850366567532e-12
453.0,5.284362375760729e-35
454.0,0.0
455.0,1.898149196107459e-46
456.0,1.1678042964612152e-40
457.0,0.0
458.0,1.844956586301089e-29
459.0,0.0
460.0,0.0
461.0,0.0
462.0,2.473709995488031e-24
463.0,2.524855596143918e-47
464.0,1.3377589363685731e-17
465.0,4.18690325321614e-11
466.0,0.0
467.0,0.0
468.0,0.0
469.0,2.6438939092622453e-30
470.0,0.0
471.0,1.511302232247386e-47
472.0,0.0
473.0,1.7535583872101656e-25
474.0,2.9161930811689495e-37
475.0,0.0
476.0,1.4371225042139505e-19
477.0,0.0
478.0,7.197007890752373e-11
479.0,0.0
480.0,1.4819893146830182e-30
481.0,0.0
482.0,0.0
483.0,1.4602931293171947e-37
484.0,0.0
485.0,9.387773571353495e-26
486.0,0.0
487.0,0.0
488.0,7.00540983551202e-21
489.0,0.0
490.0,7.379156017759089e-33
491.0,2.8404635175633872e-14
492.0,0.0
493.0,5.788745184258486e-39
494.0,0.0
495.0,0.0
496.0,4.96264898253863e-25
497.0,0.0
498.0,0.0
499.0,0.0
500.0,1.2506112568620127e-21
501.0,6.252595689744062e-34
502.0,1.507981821186352e-39
503.0,6.006492563254012e-16
504.0,0.0
505.0,0.0
506.0,0.0
507.0,1.5095491492879097e-26
508.0,0.0
509.0,0.0
510.0,3.751605228979168e-35
511.0,4.2785156388131475e-35
512.0,7.319064448952173e-21
513.0,0.0
514.0,0.0
515.0,0.0
516.0,1.175991511124584e-16
517.0,0.0
518.0,1.844113783558449e-29
519.0,0.0
520.0,3.137636795364626e-35
521.0,0.0
522.0,0.0
523.0,8.550587866427868e-24
524.0,0.0
525.0,0.0
526.0,0.0
527.0,0.0
528.0,2.1469780518654595e-17
529.0,0.0
530.0,3.470007959984218e-37
531.0,0.0
532.0,0.0
533.0,0.0
534.0,3.8455682072276003e-25
535.0,3.2575896738241088e-25
536.0,0.0
537.0,0.0
538.0,5.798888133821351e-31
539.0,0.0
540.0,4.859265943909943e-19
541.0,0.0
542.0,0.0
543.0,0.0
544.0,0.0
545.0,6.020713120450021e-26
546.0,0.0
547.0,0.0
548.0,1.8907074949929254e-30
549.0,0.0
550.0,0.0
551.0,1.116393589884569e-19
552.0,0.0
553.0,0.0
554.0,0.0
555.0,0.0
556.0,1.0761374708379995e-25
557.0,0.0
558.0,0.0
559.0,0.0
560.0,0.0
561.0,0.0
562.0,1.369464110915839e-21
563.0,1.4901947005737675e-21
564.0,0.0
