wavenumbers,absorbance
400.0,1.1452839645182165e-80
401.0,1.2985979884486325e-07
402.0,2.0397234491483993e-71
403.0,0.0
404.0,1.8774560195214725e-66
405.0,1.1893695136564904e-72
406.0,2.5998125441444983e-55
407.0,1.0018649943926934e-73
408.0,1.2788041150982114e-60
409.0,0.0
410.0,1.6113834822963464e-74
411.0,0.0
412.0,1.3778357233154335e-66
413.0,0.0
414.0,1.0935793838627784e-45
415.0,7.791991074390526e-77
416.0,3.934351926191995e-33
417.0,4.137472752077081e-56
418.0,3.529765980034551e-77
419.0,6.20786405280962e-80
420.0,0.0
421.0,0.0
422.0,0.0
423.0,3.63092231602359e-51
424.0,0.0
425.0,0.0
426.0,0.0
427.0,1.6493852608928714e-62
428.0,5.748799623702194e-23
429.0,0.0
430.0,4.169552526994211e-29
431.0,1.3855328542015657e-34
432.0,0.0
433.0,0.0
434.0,0.0
435.0,2.0725071135717367e-51
436.0,1.3152937704815346e-61
437.0,0.0
438.0,1.4564598867956748e-57
439.0,0.0
440.0,0.0
441.0,0.0
442.0,0.0
443.0,0.0
444.0,2.186438815482186e-38
445.0,5.40437889187926e-30
446.0,0.0
447.0,5.108875744381632e-52
448.0,3.413358465125537e-71
449.0,0.0
450.0,0.0
451.0,0.0
452.0,1.2567413900754707e-65
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,2.2054592698797206e-42
458.0,1.1424357672647645e-59
459.0,2.343796397864878e-81
460.0,1.739759424362908e-33
461.0,1.67972013251144e-30
462.0,0.0
463.0,0.0
464.0,0.0
465.0,2.1161122719055858e-48
466.0,0.0
467.0,4.2028519545570493e-66
468.0,0.0
469.0,0.0
470.0,9.011711675045714e-44
471.0,0.0
472.0,8.923443818811033e-12
473.0,3.1986337659163952e-83
474.0,1.8439486584188313e-37
475.0,0.0
476.0,9.926525485280273e-32
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,5.532085880293252e-82
482.0,0.0
483.0,8.846382711051748e-44
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,1.0776820239314229e-80
489.0,6.804447251044568e-50
490.0,6.454282996385642e-13
491.0,8.720235325631696e-27
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,6.265478301061883e-45
497.0,0.0
498.0,0.0
499.0,4.590085187932094e-56
500.0,5.1396974978941806e-80
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,1.80830098458552e-33
506.0,0.0
507.0,2.241890713982329e-14
508.0,0.0
509.0,0.0
510.0,4.463091173295548e-80
511.0,4.902702139270168e-51
512.0,2.974018031988395e-78
513.0,0.0
514.0,8.527492659231753e-66
515.0,0.0
516.0,0.0
517.0,0.0
518.0,0.0
519.0,5.721325621403512e-34
520.0,2.775766056916725e-47
521.0,0.0
522.0,1.8562429292817507e-28
523.0,0.0
524.0,2.0125849739441687e-82
525.0,0.0
526.0,1.5983953328013981e-83
527.0,0.0
528.0,3.581336184637335e-83
529.0,0.0
530.0,0.0
531.0,1.6359887648254447e-47
532.0,5.800980218835281e-34
533.0,0.0
534.0,0.0
535.0,5.6155094369463125e-80
536.0,5.0937295886370206e-82
537.0,0.0
538.0,6.0327386037568595e-80
539.0,3.7097633535393487e-23
540.0,2.51512615918417e-16
541.0,0.0
542.0,1.1610093494175077e-49
543.0,3.204431193661342e-80
544.0,0.0
545.0,0.0
546.0,5.3332824566460056e-36
547.0,0.0
548.0,0.0
549.0,1.806509075284288e-82
550.0,8.59276495017046e-31
551.0,0.0
552.0,0.0
553.0,2.481698641550941e-79
554.0,8.694808233075068e-24
555.0,0.0
556.0,6.873311733814272e-17
557.0,0.0
558.0,0.0
559.0,1.3335361366262859e-37
560.0,0.0
561.0,0.0
562.0,0.0
563.0,0.0
564.0,2.445744457223391e-29
565.0,1.4349770292278004e-82
566.0,6.567687103036788e-80
567.0,1.6590231370403986e-57
568.0,2.9254198035367496e-74
569.0,1.9210951359210846e-25
570.0,0.0
571.0,2.886299329778954e-19
572.0,0.0
573.0,4.901570004211824e-53
574.0,5.55812589188932e-79
575.0,1.8552951859788603e-82
576.0,0.0
577.0,0.0
578.0,0.0
579.0,0.0
580.0,5.1175439443274925e-79
581.0,0.0
582.0,0.0
583.0,0.0
584.0,8.533666151380122e-40
585.0,0.0
586.0,0.0
587.0,2.5848710080539447e-19
588.0,0.0
589.0,0.0
590.0,0.0
591.0,7.012658101554448e-81
592.0,0.0
593.0,0.0
594.0,6.2410478013690075e-80
595.0,3.4355989520561676e-78
596.0,1.0579514925781046e-38
597.0,0.0
