wavenumbers,absorbance
400.0,7.87876504297758e-79
401.0,1.2498704590988331e-67
402.0,0.0
403.0,0.006513357107775328
404.0,0.0
405.0,1.5124797128814833e-47
406.0,0.0
407.0,0.0
408.0,8.961996142906238e-20
409.0,1.0410525403608721e-33
410.0,0.0
411.0,0.0
412.0,0.0
413.0,0.0
414.0,0.0
415.0,0.0
416.0,0.0
417.0,0.0
418.0,0.0
419.0,0.0
420.0,0.0
421.0,0.0
422.0,0.0
423.0,0.0
424.0,1.470664048950164e-73
425.0,0.0
426.0,1.2675439817558473e-27
427.0,0.0
428.0,0.0
429.0,0.0
430.0,0.0
431.0,0.0
432.0,0.0
433.0,0.0
434.0,0.0
435.0,0.0
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.0
441.0,0.0011199437256780547
442.0,0.0
443.0,1.9426317664548947e-20
444.0,0.0
445.0,1.720798637593819e-75
446.0,1.556008334947914e-60
447.0,0.0
448.0,0.0
449.0,0.0
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,2.877303532801738e-28
460.0,0.0
461.0,1.4577630308618859e-12
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,2.2571547388225382e-63
471.0,0.0
472.0,5.123416728274752e-37
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.024669868587561455
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,9.806263334509883e-77
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,0.0
508.0,0.0
509.0,0.0
510.0,0.0
511.0,0.0
512.0,0.0
513.0,0.0
514.0,0.0
515.0,0.0
516.0,5.034781562008528e-66
517.0,0.0
518.0,0.0
519.0,0.0
520.0,3.909169839780789e-79
521.0,0.0
522.0,0.0
523.0,7.4451229287458015e-31
524.0,0.0
525.0,0.0
526.0,0.0
527.0,0.0
528.0,0.0
529.0,0.0
530.0,0.0
531.0,4.2621452324171646e-73
532.0,2.6704562609472836e-14
533.0,0.0
534.0,0.0
535.0,0.0
