wavenumbers,absorbance
400.0,0.0
401.0,0.0
402.0,0.0
403.0,0.0
404.0,0.0
405.0,0.0
406.0,0.0
407.0,0.0
408.0,0.0
409.0,0.0
410.0,0.0
411.0,0.0
412.0,0.0
413.0,0.0
414.0,0.0
415.0,0.0
416.0,0.0
417.0,0.0
418.0,0.0
419.0,0.0
420.0,0.0
421.0,0.0
422.0,0.0
423.0,0.0
424.0,0.0
425.0,0.0
426.0,0.0
427.0,0.0
428.0,0.0
429.0,0.0
430.0,0.0
431.0,0.0
432.0,0.0
433.0,0.0
434.0,0.0
435.0,0.0
436.0,0.0
437.0,0.0
438.0,0.0
439.0,0.0
440.0,0.0
441.0,0.0
442.0,0.0
443.0,0.0
444.0,0.0
445.0,0.0
446.0,0.0
447.0,0.0
448.0,0.0
449.0,0.0
450.0,0.0
451.0,0.0
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.0
483.0,0.0
484.0,0.0
485.0,0.0
486.0,0.0
487.0,0.0
488.0,0.0
489.0,0.0
490.0,0.0
491.0,0.0
492.0,0.0
493.0,0.0
494.0,0.0
495.0,0.0
496.0,0.0
497.0,0.0
498.0,0.0
499.0,0.0
500.0,0.0
501.0,0.0
502.0,0.0
503.0,0.0
504.0,0.0
505.0,0.0
506.0,0.0
507.0,1.0755177567515451e-11
508.0,8.462967809181942e-11
509.0,5.788806665606272e-10
510.0,1.1578658727314797e-09
511.0,1.3634744543886066e-08
512.0,8.586970137033147e-09
513.0,3.900053304248472e-09
514.0,8.62753759066988e-09
515.0,1.3435841169135263e-07
516.0,4.4359864412705314e-08
517.0,2.3580209861107472e-08
518.0,5.458161560826825e-08
519.0,9.237184250838619e-07
520.0,2.4109231897771376e-07
521.0,1.301034655921161e-07
522.0,2.896608365215734e-07
523.0,4.3086594143039555e-06
524.0,1.3551851425506725e-06
525.0,7.270273995364188e-07
526.0,2.0326680926141073e-06
527.0,1.8445113228142364e-05
528.0,2.6143690396746134e-05
529.0,6.783142509156746e-06
530.0,1.0209528774133923e-05
531.0,6.725439970270136e-05
532.0,8.900158924429317e-05
533.0,8.618111680790538e-05
534.0,0.00016186499347966464
535.0,0.00042609055642539844
536.0,0.0006643517689219777
537.0,0.00011376657346602408
538.0,0.00014669196410962908
539.0,0.0011149366310210713
540.0,0.003376161768718331
541.0,0.0006954911997733555
542.0,0.0006863067695927295
543.0,0.0015613921725799763
544.0,0.00271408679442904
545.0,0.00321620898939163
546.0,0.0022773826864625154
547.0,0.002396715309565055
548.0,0.002713011955553496
549.0,0.030929002152128748
550.0,0.009526307463086981
551.0,0.003345158090501886
552.0,0.004589222423546223
553.0,0.02128101695727772
554.0,0.03718979272521914
555.0,0.007924528514395261
556.0,0.006554914558233993
557.0,0.014437163584983368
558.0,0.18548789260858362
559.0,0.030714627101507987
560.0,0.01284027969232767
561.0,0.014920284463370027
562.0,0.058448446511436394
563.0,0.23924485621261166
564.0,0.04603001905227916
565.0,0.01996256409734567
566.0,0.033866013047060606
567.0,0.1535282837167669
568.0,0.20747182537398257
569.0,0.04605131171866874
570.0,0.035009904707811346
571.0,0.1103512585246345
572.0,0.25944304844893445
573.0,0.20669657946836673
574.0,0.0563944980875391
575.0,0.07693355627856421
576.0,0.07406706155198531
577.0,0.31883597699771676
578.0,0.20419357603002394
579.0,0.1806954223268322
580.0,0.05479238639132819
581.0,0.10357530120820348
582.0,0.24257457041890956
583.0,0.15843133240353816
584.0,0.05006401996674841
585.0,0.020591946250093633
586.0,0.027633835787771083
587.0,0.0913071026199664
588.0,0.14684140361320577
589.0,11.530157636099707
590.0,1.5266924057215832
591.0,0.26286313753925605
592.0,0.14240294297158249
593.0,0.4393459192745327
594.0,0.13942799351757282
595.0,0.0680228833724091
596.0,0.06941870594981998
597.0,0.1246430561095723
598.0,0.9796051228103195
599.0,0.2077847592172407
600.0,0.1302583070655722
601.0,0.08342370732858069
602.0,0.09639987186569082
603.0,0.5276467938431699
604.0,0.30702243336224533
605.0,0.14556679566082337
606.0,0.08636232436995321
607.0,0.11963892079184277
608.0,0.18856751738681937
609.0,0.768834145103959
610.0,0.1049468298515923
611.0,0.049390301939232634
612.0,0.03606318905099132
613.0,0.07423368155028283
614.0,0.4299938802613541
615.0,0.1465945537847337
616.0,0.07721636600486619
617.0,0.02337882739539858
618.0,0.02373869855045802
619.0,0.06258090214122403
620.0,0.2660989191275895
621.0,0.03265831450010379
622.0,0.016087837636987058
623.0,0.009552480450993326
624.0,0.014463098479603543
625.0,0.07894577222186934
