wavenumbers,absorbance
400.0,3.908530246001758e-63
401.0,1.2528553023947417e-19
402.0,4.321947252318929e-49
403.0,6.729376656790944e-25
404.0,1.2298844122963395e-40
405.0,7.012631001341596e-18
406.0,5.714433111821794e-78
407.0,1.550812010978181e-21
408.0,2.1077129950478488e-37
409.0,2.338823013103749e-27
410.0,1.397349520675794e-68
411.0,1.1376565093801188e-61
412.0,2.8225442029472865e-34
413.0,3.433035611483193e-54
414.0,5.412148878848828e-75
415.0,3.5404359032870315e-42
416.0,8.566731079540858e-33
417.0,1.3163145177659484e-49
418.0,1.730377470161786e-56
419.0,1.389126333574291e-38
420.0,1.3105104457917285e-28
421.0,4.074396833722919e-46
422.0,2.8529503802623597e-32
423.0,1.5528191156187795e-56
424.0,7.195375931749925e-79
425.0,0.0
426.0,8.038358562524518e-29
427.0,1.8740347578000344e-50
428.0,2.42434939775035e-53
429.0,2.7057912225803934e-35
430.0,7.446937676308987e-24
431.0,2.3356336535783863e-43
432.0,6.080744211688003e-44
433.0,1.7007542571943594e-31
434.0,2.751887078069869e-19
435.0,0.0
436.0,2.2785475773053765e-22
437.0,3.721739616507123e-46
438.0,4.4919909473869126e-51
439.0,1.957674434843367e-33
440.0,1.0380307567224738e-20
441.0,1.317864699177615e-40
442.0,6.363319971755909e-43
443.0,1.7851500453542041e-31
444.0,1.6857061264386078e-77
445.0,8.009003304047865e-73
446.0,1.8364207200520102e-20
447.0,1.9317693532009732e-43
448.0,1.6619554427445494e-47
449.0,1.585871723563138e-30
450.0,0.0
451.0,3.546367399601926e-73
452.0,1.458194015675075e-21
453.0,8.584889217374849e-26
454.0,5.429814475497781e-77
455.0,1.2985968841122796e-73
456.0,0.0
457.0,0.0
458.0,1.5029629048482635e-45
459.0,0.0
460.0,3.610106541787678e-29
461.0,1.3933976074167727e-33
462.0,2.2416048657524415e-38
463.0,1.6502015728693416e-40
464.0,3.2362010101969817e-52
465.0,3.6018208398428906e-28
466.0,3.0729551192526386e-31
467.0,7.899821450774238e-34
468.0,1.0816964439156096e-39
469.0,4.1125266110896204e-23
470.0,2.3684103520716423e-80
471.0,0.0
472.0,7.339719124249075e-67
473.0,3.08698317908393e-39
474.0,2.008372149316733e-50
475.0,3.732831432926929e-24
476.0,3.7158307589228806e-28
477.0,3.56436560571618e-31
478.0,2.1955046889608282e-61
479.0,2.0683965935668366e-46
480.0,0.0
481.0,1.0000677317774123e-67
482.0,0.0
483.0,1.6104673205871495e-32
484.0,8.498229352958454e-55
485.0,4.0041246408077624e-80
486.0,0.0
487.0,3.581372676653694e-24
488.0,3.866945818150076e-29
489.0,1.6583384973225358e-73
490.0,3.9339801340777037e-44
491.0,7.871554746682511e-70
492.0,0.0
493.0,0.0
494.0,0.0
495.0,1.1941707234721591e-36
496.0,3.582913458846928e-75
497.0,0.0
498.0,2.2777354364716054e-27
499.0,0.0
500.0,7.818201171740621e-33
501.0,0.0
502.0,1.9156741903206312e-65
503.0,1.3081147397051864e-81
504.0,0.0
505.0,1.1202501679513575e-30
506.0,7.287749409014058e-37
507.0,0.0
508.0,2.127060678757015e-75
509.0,0.0
510.0,4.8076227182263126e-79
511.0,3.4263083170741674e-38
512.0,0.0
513.0,2.9261117126110105e-63
514.0,0.0
515.0,0.0
516.0,3.0294815842848883e-27
517.0,1.4936550082579364e-38
518.0,8.127278810623056e-80
519.0,3.555515735278448e-80
520.0,0.0
521.0,8.953837243046513e-28
522.0,6.464714137448763e-66
523.0,3.609818493862882e-73
524.0,2.0291639215920644e-62
525.0,1.4009037295016766e-69
526.0,3.0390662871013266e-76
527.0,7.5841592919187e-50
528.0,3.4081336845208953e-35
529.0,3.333685628388898e-61
530.0,0.0
531.0,5.830623658738656e-81
532.0,2.7232767479018037e-47
533.0,5.07596845063439e-63
534.0,2.297934826335731e-63
535.0,0.0
536.0,0.0
537.0,1.972584652394132e-67
538.0,1.6371032979371846e-48
539.0,7.506692962595152e-29
540.0,0.0
541.0,7.371010867794168e-68
542.0,4.639803712786612e-74
543.0,0.0
544.0,8.268183877558582e-33
545.0,0.0
546.0,0.0
547.0,1.9785219976870572e-79
548.0,4.631621622994684e-72
549.0,7.573082508267143e-39
550.0,1.5459926033822814e-75
551.0,4.870361501423405e-75
552.0,0.0
553.0,4.950273665706208e-50
554.0,9.101356794978348e-62
555.0,2.309643569843151e-34
556.0,1.4041975024361104e-29
557.0,1.0117539566560901e-53
558.0,1.9448368056163046e-50
559.0,6.149590505426256e-44
560.0,2.7598487882091954e-46
561.0,1.099883078942429e-81
562.0,2.5303709698875496e-53
563.0,4.94699632605819e-53
564.0,0.0
565.0,3.767404084787337e-43
566.0,1.2972836307490614e-42
567.0,1.725671272761011e-35
568.0,2.0964303014155753e-55
569.0,0.0
570.0,1.5546409890385658e-70
571.0,0.0
572.0,7.976468931158552e-31
573.0,6.083354999445444e-30
574.0,0.0
575.0,1.8342381632117419e-75
576.0,3.1469556319241613e-68
577.0,2.4667345032020123e-56
578.0,4.907003602143671e-72
579.0,0.0
580.0,0.0
581.0,6.6514321685757e-43
582.0,5.323368786836536e-41
583.0,5.890932516763644e-40
584.0,0.0
585.0,5.207867276330324e-49
586.0,4.739138523021674e-81
587.0,9.667067479074872e-55
588.0,1.5485742165041616e-37
589.0,1.106086233792972e-65
590.0,5.70428407736234e-62
591.0,5.083822414916692e-70
592.0,5.605493578289228e-58
593.0,0.0
594.0,1.9829431807441804e-77
595.0,7.667017866102172e-54
596.0,3.620065833144268e-60
597.0,9.862357333214582e-67
598.0,2.3998311839022124e-42
599.0,3.6821181321842937e-38
600.0,4.903065126647599e-53
601.0,2.097761106105309e-34
602.0,8.025909349672249e-47
603.0,6.805724713467993e-59
604.0,0.0
605.0,6.155188307951959e-55
606.0,0.0
607.0,3.766959490840159e-79
608.0,2.0023006889164473e-59
609.0,1.98409418620532e-63
610.0,9.977321597972796e-56
611.0,1.426785503018954e-38
612.0,1.567015231340136e-34
613.0,0.0
614.0,6.471276285081e-72
615.0,2.415543082416058e-40
616.0,0.0
617.0,1.0387832377546943e-51
618.0,8.800369172235645e-82
619.0,4.3835057194252213e-44
620.0,5.7482194153680834e-55
621.0,1.0862142123147338e-61
622.0,1.559393231554261e-53
623.0,2.350031758989965e-36
624.0,8.638482237203555e-49
625.0,1.4551607967109906e-57
626.0,0.0
627.0,7.390854925928853e-37
628.0,5.552533364345042e-78
629.0,0.0
630.0,0.0
631.0,1.7036062203603786e-41
632.0,0.0
633.0,0.0
634.0,3.5066530522322e-64
635.0,0.0
636.0,0.0
637.0,1.7828075341801032e-63
638.0,3.5902569615789238e-59
639.0,6.355948739489282e-80
640.0,4.3318623136034577e-63
641.0,0.0
642.0,0.0
643.0,2.6905308985144764e-43
644.0,0.0
645.0,4.8921349362336945e-48
646.0,2.5391381075276727e-69
647.0,1.3605799295058406e-56
648.0,0.0
649.0,0.0
650.0,4.717284224462967e-39
651.0,0.0
652.0,1.0188652682313559e-42
653.0,0.0
654.0,1.7192229463378725e-65
655.0,1.1848505750426736e-70
656.0,0.0
657.0,6.773774710369597e-58
658.0,0.0
659.0,4.154302014598286e-41
660.0,4.916591350903756e-57
661.0,0.0
662.0,7.634383410733418e-74
663.0,0.0
664.0,1.7897831993274733e-45
665.0,1.0640477924510938e-66
666.0,8.843958804671641e-41
667.0,7.114067936176979e-50
668.0,0.0
669.0,0.0
670.0,0.0
671.0,0.0
672.0,3.278414340350595e-50
673.0,3.112438619920629e-64
674.0,0.0
675.0,6.1591992175354914e-77
676.0,0.0
677.0,1.1502075114913391e-51
678.0,0.0
679.0,3.4308158498771666e-61
680.0,4.9608537192654096e-42
681.0,5.3493633199121796e-61
682.0,1.6969941763525735e-52
683.0,0.0
684.0,0.0
685.0,0.0
686.0,0.0
687.0,1.2641500811831408e-43
688.0,5.273392144159177e-75
689.0,4.8332076151335105e-57
690.0,1.781155590531842e-52
691.0,0.0
692.0,6.151906460694217e-53
693.0,0.0
694.0,2.7469238722473466e-67
695.0,0.0
696.0,3.170901012483063e-80
697.0,6.540539948778861e-54
698.0,0.0
699.0,0.0
700.0,6.072903317032511e-64
701.0,1.0277369419061654e-69
702.0,0.0
703.0,1.7973171007918994e-72
704.0,0.0
705.0,4.0352494543560506e-77
706.0,4.4492493160597384e-60
707.0,0.0
708.0,0.0
709.0,0.0
710.0,0.0
711.0,0.0
712.0,0.0
713.0,2.4917199163382914e-61
714.0,9.849375086188137e-74
715.0,0.0
716.0,3.8061468890010405e-71
717.0,0.0
718.0,0.0
719.0,3.8184231043372725e-58
720.0,1.577846488178991e-76
721.0,0.0
722.0,0.0
723.0,1.3246478898430312e-71
724.0,3.0444797292254205e-77
725.0,0.0
726.0,4.213789858692424e-58
727.0,2.2875914252511254e-63
728.0,0.0
729.0,4.7043568577490805e-63
730.0,0.0
731.0,1.421872193977849e-77
732.0,1.6328116224564084e-54
733.0,2.2279403889003246e-58
734.0,0.0
735.0,0.0
736.0,7.277577970640714e-74
737.0,0.0
738.0,4.154520908304043e-65
739.0,0.0
740.0,0.0
741.0,0.0
742.0,0.0
743.0,0.0
744.0,1.5540768075705041e-56
745.0,0.0
746.0,0.0
747.0,4.822902270083301e-67
748.0,0.0
749.0,0.0
750.0,4.0543787958554592e-53
751.0,0.0
752.0,0.0
753.0,0.0
754.0,7.341414568626238e-78
755.0,2.645596380953418e-73
756.0,0.0
757.0,3.1648811201405477e-76
758.0,4.9830166617615e-73
759.0,0.0
760.0,4.0884005826704807e-69
761.0,0.0
762.0,7.965823543768527e-78
763.0,4.25776690948047e-59
764.0,0.0
765.0,0.0
766.0,1.6212801788345822e-79
767.0,3.403734557281586e-55
768.0,0.0
769.0,2.6058303467002634e-56
770.0,0.0
771.0,0.0
772.0,0.0
773.0,0.0
774.0,0.0
775.0,0.0
776.0,2.180050258776502e-71
777.0,0.0
778.0,3.907226909598568e-67
779.0,1.5451397896278755e-76
780.0,0.0
781.0,0.0
782.0,0.0
783.0,0.0
784.0,0.0
785.0,0.0
786.0,7.499229663154055e-59
787.0,0.0
788.0,0.0
789.0,0.0
790.0,0.0
791.0,0.0
792.0,1.5683354086037585e-58
793.0,5.160543268286253e-74
794.0,0.0
795.0,4.316361613223132e-65
796.0,9.716218375825784e-66
797.0,0.0
798.0,0.0
799.0,0.0
800.0,0.0
801.0,1.1187017664765761e-60
802.0,0.0
803.0,0.0
804.0,0.0
805.0,0.0
806.0,0.0
807.0,1.1502478489652608e-70
808.0,0.0
809.0,8.512837966784921e-68
810.0,0.0
811.0,0.0
812.0,0.0
813.0,0.0
814.0,0.0
815.0,0.0
816.0,0.0
817.0,0.0
818.0,0.0
819.0,0.0
820.0,0.0
821.0,0.0
822.0,0.0
823.0,1.4887294424799375e-65
824.0,0.0
825.0,0.0
826.0,0.0
827.0,0.0
828.0,0.0
829.0,0.0
830.0,0.0
831.0,2.863908784649355e-66
832.0,0.0
833.0,0.0
834.0,0.0
835.0,0.0
836.0,0.0
837.0,0.0
838.0,2.4656987306543344e-73
839.0,0.0
840.0,0.0
841.0,0.0
842.0,3.662393653439334e-74
843.0,0.0
844.0,1.7253320316177948e-69
845.0,0.0
846.0,0.0
847.0,0.0
848.0,0.0
849.0,0.0
850.0,0.0
851.0,0.0
852.0,0.0
853.0,0.0
854.0,0.0
855.0,0.0
856.0,0.0
857.0,0.0
858.0,0.0
859.0,0.0
860.0,0.0
861.0,0.0
862.0,0.0
863.0,0.0
864.0,0.0
865.0,0.0
866.0,1.1488579397997169e-78
867.0,0.0
868.0,0.0
869.0,3.69170792922711e-81
870.0,0.0
871.0,0.0
872.0,0.0
873.0,0.0
874.0,0.0
875.0,0.0
876.0,9.2020334124271e-77
877.0,0.0
878.0,0.0
879.0,0.0
880.0,0.0
881.0,0.0
882.0,0.0
883.0,0.0
884.0,0.0
885.0,0.0
886.0,0.0
887.0,0.0
888.0,0.0
889.0,0.0
890.0,0.0
891.0,0.0
892.0,0.0
893.0,0.0
894.0,0.0
895.0,0.0
896.0,0.0
897.0,0.0
898.0,0.0
899.0,0.0
900.0,2.795388530059427e-81
901.0,0.0
902.0,0.0
903.0,0.0
904.0,0.0
905.0,0.0
906.0,0.0
907.0,0.0
908.0,0.0
909.0,0.0
910.0,0.0
911.0,0.0
912.0,0.0
913.0,0.0
914.0,0.0
915.0,0.0
916.0,0.0
917.0,0.0
918.0,0.0
919.0,0.0
920.0,0.0
921.0,0.0
922.0,0.0
923.0,0.0
924.0,0.0
925.0,0.0
926.0,0.0
927.0,0.0
928.0,0.0
929.0,0.0
930.0,0.0
931.0,0.0
932.0,0.0
933.0,0.0
934.0,0.0
935.0,0.0
936.0,0.0
937.0,0.0
938.0,0.0
939.0,0.0
940.0,0.0
941.0,0.0
942.0,0.0
943.0,0.0
944.0,0.0
945.0,0.0
946.0,0.0
947.0,1.3004357386433724e-49
948.0,0.0
949.0,4.30556462897739e-49
950.0,0.0
951.0,0.0
952.0,0.0
953.0,0.0
954.0,0.0
955.0,0.0
956.0,4.677155428891176e-50
957.0,0.0
958.0,0.0
959.0,0.0
960.0,0.0
961.0,9.746210145107491e-49
962.0,0.0
963.0,0.0
964.0,0.0
965.0,0.0
966.0,0.0
967.0,0.0
968.0,0.0
969.0,0.0
970.0,0.0
971.0,0.0
972.0,0.0
973.0,0.0
974.0,0.0
975.0,0.0
976.0,0.0
977.0,1.8884521095327333e-51
978.0,0.0
979.0,0.0
980.0,4.198023586918795e-53
981.0,0.0
982.0,0.0
983.0,0.0
984.0,0.0
985.0,0.0
986.0,0.0
987.0,0.0
988.0,9.592369002459393e-48
989.0,0.0
990.0,1.9978584469122162e-80
991.0,0.0
992.0,0.0
